District Name,District Code,Taluka Name,Taluka Code,Village Name,Village Code,DTV Code
કચ્છ,01,ભચાઉ,03,લખઘીરગઢ-અલેપર - 062,062,0103062
કચ્છ,01,ભચાઉ,03,લખપત - 033,033,0103033
કચ્છ,01,ભચાઉ,03,લુણવા - 045,045,0103045
કચ્છ,01,ભચાઉ,03,લલીયાણા - 053,053,0103053
કચ્છ,01,ભચાઉ,03,લાકડીયા - 058,058,0103058
કચ્છ,01,ભચાઉ,03,લાખાપર - 066,066,0103066
કચ્છ,01,ભચાઉ,03,વસટવા - 030,030,0103030
કચ્છ,01,ભચાઉ,03,વાંઢીયા - 065,065,0103065
કચ્છ,01,ભચાઉ,03,વામકા - 025,025,0103025
કચ્છ,01,ભચાઉ,03,વીજપાસર - 035,035,0103035
કચ્છ,01,ભચાઉ,03,વોંઘડા - 036,036,0103036
કચ્છ,01,ભચાઉ,03,વોંધ - 049,049,0103049
કચ્છ,01,ભચાઉ,03,શીકરા - 039,039,0103039
કચ્છ,01,ભચાઉ,03,શીકારપુર - 071,071,0103071
કચ્છ,01,ભચાઉ,03,શીવલખા - 057,057,0103057
કચ્છ,01,ભચાઉ,03,સુખપર - 044,044,0103044
કચ્છ,01,ભચાઉ,03,સામખીયાલી - 054,054,0103054
કચ્છ,01,ભચાઉ,03,હલરા - 026,026,0103026
કચ્છ,01,અંજાર,04,અજાપર - 031,031,0104031
કચ્છ,01,અંજાર,04,અંજાર શહેર - 077,077,0104077
કચ્છ,01,અંજાર,04,અંજાર સીમ - 078,078,0104078
કચ્છ,01,અંજાર,04,અમરાપર઼-૧ - 004,004,0104004
કચ્છ,01,અંજાર,04,અમરાપર-૨ - 076,076,0104076
કચ્છ,01,અંજાર,04,આંબાપર - 016,016,0104016
કચ્છ,01,અંજાર,04,કુંભારીયા - 063,063,0104063
કચ્છ,01,અંજાર,04,કોટડા - 012,012,0104012
કચ્છ,01,અંજાર,04,ખેંગારપર - 009,009,0104009
કચ્છ,01,અંજાર,04,ખેડોઈ - 053,053,0104053
કચ્છ,01,અંજાર,04,ખંભરા - 042,042,0104042
કચ્છ,01,અંજાર,04,ખારા પસવારીયા - 030,030,0104030
કચ્છ,01,અંજાર,04,ખીરસરા - 002,002,0104002
કચ્છ,01,અંજાર,04,ખોખરા - 018,018,0104018
કચ્છ,01,અંજાર,04,ઘમડકા - 007,007,0104007
કચ્છ,01,અંજાર,04,ચંદીયા - 048,048,0104048
કચ્છ,01,અંજાર,04,ચંન્દ્રાપર - 070,070,0104070
કચ્છ,01,અંજાર,04,ચાંદ્રોડા - 065,065,0104065
કચ્છ,01,અંજાર,04,ચાંન્દ્રાણી - 011,011,0104011
કચ્છ,01,અંજાર,04,ઝરુ - 019,019,0104019
કચ્છ,01,અંજાર,04,ટપ્પર - 014,014,0104014
કચ્છ,01,અંજાર,04,તુણા - 074,074,0104074
કચ્છ,01,અંજાર,04,દુધઈ - 008,008,0104008
કચ્છ,01,અંજાર,04,દેવળીયા - 062,062,0104062
કચ્છ,01,અંજાર,04,દેવીસર - 003,003,0104003
કચ્છ,01,અંજાર,04,નગાવલાડીયા - 068,068,0104068
કચ્છ,01,અંજાર,04,નવાગામ - 010,010,0104010
કચ્છ,01,અંજાર,04,નાગલપર નાની - 038,038,0104038
કચ્છ,01,અંજાર,04,નાગલપર મોટી - 039,039,0104039
કચ્છ,01,અંજાર,04,નીંગાળ - 023,023,0104023
કચ્છ,01,અંજાર,04,પશુડા - 013,013,0104013
કચ્છ,01,અંજાર,04,પાંતીયા - 043,043,0104043
કચ્છ,01,અંજાર,04,બુઢારમોરા - 006,006,0104006
કચ્છ,01,અંજાર,04,બીટાવલાડીયા પુર્વ - 067,067,0104067
કચ્છ,01,અંજાર,04,બીટાવલાડીયા પશ્ચીમ - 066,066,0104066
કચ્છ,01,અંજાર,04,ભલોટ - 050,050,0104050
કચ્છ,01,અંજાર,04,ભુવડ - 064,064,0104064
કચ્છ,01,અંજાર,04,ભાદ્રોઈ - 025,025,0104025
કચ્છ,01,અંજાર,04,ભીમાસર - 032,032,0104032
કચ્છ,01,અંજાર,04,મખીયાણા - 051,051,0104051
કચ્છ,01,અંજાર,04,મેઘપર-કુંભારડી - 055,055,0104055
કચ્છ,01,અંજાર,04,મેઘપર-બોરીચી - 056,056,0104056
કચ્છ,01,અંજાર,04,મથડા - 052,052,0104052
કચ્છ,01,અંજાર,04,માથક - 072,072,0104072
કચ્છ,01,અંજાર,04,મારીંગણા - 024,024,0104024
કચ્છ,01,અંજાર,04,મીઠા પસવારીયા - 029,029,0104029
કચ્છ,01,અંજાર,04,મીદીયાળા - 054,054,0104054
કચ્છ,01,અંજાર,04,મોડવદર - 036,036,0104036
કચ્છ,01,અંજાર,04,મોડસર - 020,020,0104020
કચ્છ,01,અંજાર,04,રતનાલ - 022,022,0104022
કચ્છ,01,અંજાર,04,રાતાતળાવ - 027,027,0104027
કચ્છ,01,અંજાર,04,રાપર - 017,017,0104017
કચ્છ,01,અંજાર,04,રામપર - 073,073,0104073
કચ્છ,01,અંજાર,04,લાખાપર - 015,015,0104015
કચ્છ,01,અંજાર,04,લોહારીયા નાના - 044,044,0104044
કચ્છ,01,અંજાર,04,લોહારીયા મોટા - 047,047,0104047
કચ્છ,01,અંજાર,04,વરસાણા - 033,033,0104033
કચ્છ,01,અંજાર,04,વરસામેડી - 037,037,0104037
કચ્છ,01,અંજાર,04,વાડા - 045,045,0104045
કચ્છ,01,અંજાર,04,વીડી - 040,040,0104040
કચ્છ,01,અંજાર,04,વીરા - 069,069,0104069
કચ્છ,01,અંજાર,04,સુગારીયા - 021,021,0104021
કચ્છ,01,અંજાર,04,સંઘડ - 071,071,0104071
કચ્છ,01,અંજાર,04,સતાપર - 028,028,0104028
કચ્છ,01,અંજાર,04,સાપેડા - 026,026,0104026
કચ્છ,01,અંજાર,04,સીનુગ્રા - 041,041,0104041
કચ્છ,01,અંજાર,04,હમીરપર - 046,046,0104046
કચ્છ,01,અંજાર,04,હીરાપર - 001,001,0104001
કચ્છ,01,ભુજ,05,અંધૌ - 030,030,0105030
કચ્છ,01,ભુજ,05,આણંદ઼સર - 109,109,0105109
કચ્છ,01,ભુજ,05,ઉખડમોરા - 090,090,0105090
કચ્છ,01,ભુજ,05,કુકમા - 117,117,0105117
કચ્છ,01,ભુજ,05,કંઢેરાઈ - 120,120,0105120
કચ્છ,01,ભુજ,05,કનૈયા બે - 089,089,0105089
કચ્છ,01,ભુજ,05,કુનરીયા - 034,034,0105034
કચ્છ,01,ભુજ,05,કમાગુના - 040,040,0105040
કચ્છ,01,ભુજ,05,કુરન - 024,024,0105024
કચ્છ,01,ભુજ,05,કુરબઈ - 110,110,0105110
કચ્છ,01,ભુજ,05,કેરા - 139,139,0105139
કચ્છ,01,ભુજ,05,કલ્યાણપર - 099,099,0105099
કચ્છ,01,ભુજ,05,કુવાથડા - 072,072,0105072
કચ્છ,01,ભુજ,05,કાનપર - 108,108,0105108
કચ્છ,01,ભુજ,05,કાલી તલાવડી - 083,083,0105083
કચ્છ,01,ભુજ,05,કોટડા આથમણા - 150,150,0105150
કચ્છ,01,ભુજ,05,કોટાય - 044,044,0105044
કચ્છ,01,ભુજ,05,કોડકી - 101,101,0105101
કચ્છ,01,ભુજ,05,ખારી - 028,028,0105028
કચ્છ,01,ભુજ,05,ખાવડા - 020,020,0105020
કચ્છ,01,ભુજ,05,ખીલણા - 066,066,0105066
કચ્છ,01,ભુજ,05,ગજોડ - 137,137,0105137
કચ્છ,01,ભુજ,05,ગડ઼ા - 095,095,0105095
કચ્છ,01,ભુજ,05,ગંઢેર - 158,158,0105158
કચ્છ,01,ભુજ,05,ગલપાદર - 081,081,0105081
કચ્છ,01,ભુજ,05,ગોડપર - સરલી - 131,131,0105131
કચ્છ,01,ભુજ,05,ગોડપર (ખાવડા) - 027,027,0105027
કચ્છ,01,ભુજ,05,ગોડસર (રખાલ) - 098,098,0105098
કચ્છ,01,ભુજ,05,ઘ્રંગ - 046,046,0105046
કચ્છ,01,ભુજ,05,ઘ્રોબાણા - 023,023,0105023
કચ્છ,01,ભુજ,05,ઘાણેટી - 091,091,0105091
કચ્છ,01,ભુજ,05,ઘોરાવર - 026,026,0105026
કચ્છ,01,ભુજ,05,ચકાર - 147,147,0105147
કચ્છ,01,ભુજ,05,ચુનડી - 136,136,0105136
કચ્છ,01,ભુજ,05,ચપરેડી - 084,084,0105084
કચ્છ,01,ભુજ,05,ચુંબડક - 121,121,0105121
કચ્છ,01,ભુજ,05,જુણા - 161,161,0105161
કચ્છ,01,ભુજ,05,જદુરા - 127,127,0105127
કચ્છ,01,ભુજ,05,જવાહરનગર - 049,049,0105049
કચ્છ,01,ભુજ,05,જાંબુડી - 149,149,0105149
કચ્છ,01,ભુજ,05,જામ કુનરીયા - 025,025,0105025
કચ્છ,01,ભુજ,05,ઝુમખા - 142,142,0105142
કચ્છ,01,ભુજ,05,ઝુરા - 036,036,0105036
કચ્છ,01,ભુજ,05,ઝીંકડી - 056,056,0105056
કચ્છ,01,ભુજ,05,ઝીંઝુ ટીંબો - 134,134,0105134
કચ્છ,01,ભુજ,05,ટાંકણસર - 038,038,0105038
કચ્છ,01,ભુજ,05,ડગાળા - 087,087,0105087
કચ્છ,01,ભુજ,05,ઢોરી - 032,032,0105032
કચ્છ,01,ભુજ,05,ઢોંસા - 063,063,0105063
કચ્છ,01,ભુજ,05,ત્રંબો - 061,061,0105061
કચ્છ,01,ભુજ,05,ત્રાયા - 078,078,0105078
કચ્છ,01,ભુજ,05,ત્રાયા ભખરી - 168,168,0105168
કચ્છ,01,ભુજ,05,થરાવડા - 156,156,0105156
કચ્છ,01,ભુજ,05,દેશલપર - 106,106,0105106
કચ્છ,01,ભુજ,05,દહીંસરા - 135,135,0105135
કચ્છ,01,ભુજ,05,દીનારા - 022,022,0105022
કચ્છ,01,ભુજ,05,ધોધારા ટીંબો - 162,162,0105162
કચ્છ,01,ભુજ,05,નથ્થરકુઈ - 071,071,0105071
કચ્છ,01,ભુજ,05,નવાવાસ - 163,163,0105163
કચ્છ,01,ભુજ,05,નાગીયારી - 105,105,0105105
કચ્છ,01,ભુજ,05,નાગોર - 076,076,0105076
કચ્છ,01,ભુજ,05,નાડ઼ાપા - 086,086,0105086
કચ્છ,01,ભુજ,05,નાભોઈ નાની - 107,107,0105107
કચ્છ,01,ભુજ,05,નારાણપર રાવરી - 129,129,0105129
કચ્છ,01,ભુજ,05,નારાણપર-પસાયતી - 138,138,0105138
કચ્છ,01,ભુજ,05,નાળીયેરી ટીંબો - 054,054,0105054
કચ્છ,01,ભુજ,05,નોખાણીયા - 043,043,0105043
કચ્છ,01,ભુજ,05,નોતીયાર ભખરી - 042,042,0105042
કચ્છ,01,ભુજ,05,પઘ્ઘર - 093,093,0105093
કચ્છ,01,ભુજ,05,પૈયા - 058,058,0105058
કચ્છ,01,ભુજ,05,પુરાસર - 077,077,0105077
કચ્છ,01,ભુજ,05,પાયરકા - 073,073,0105073
